Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,Low_Sleep_Flag,Extreme_Usage_Flag,Daily_Usage_Hours_Outlier_Flag,Weekend_Usage_Hours_Outlier_Flag,Total_App_Time,Weekend_vs_Weekday_Diff,Time_on_Social_Media_Ratio,Time_on_Gaming_Ratio,Time_on_Education_Ratio
17,Female,Port Angelaburgh,9,8.7,5.5,95,6,1.9,2,8,2,1,0.7,76,8,4.2,1.3,1.5,Education,5,4.6,10.0,0,0,0,0,7.0,-4.1,0.48275862068965525,0.14942528735632185,0.1724137931034483
15,Other,New Emilyberg,12,6.4,8.5,79,3,0.0,2,8,9,1,0.5,50,14,5.0,1.2,,Social Media,5,5.6,10.0,0,0,0,0,6.2,-0.8000000000000007,0.78125,0.18749999999999997,
19,Other,Port Charles,11,4.4,6.6,97,6,1.6,8,10,4,1,1.2,134,17,1.76,1.2,1.44,Education,4,6.8,10.0,0,0,0,0,4.4,2.3999999999999995,0.39999999999999997,0.2727272727272727,0.3272727272727272
15,Female,Lake Chase,8,5.4,7.8,87,4,2.3,6,6,9,0,0.9,36,20,2.6,1.3,1.1,Gaming,9,1.4,10.0,0,0,0,0,5.0,-4.0,0.48148148148148145,0.24074074074074073,0.20370370370370372
15,Other,Paulstad,10,3.0,6.1,80,5,1.4,1,4,2,1,1.2,95,16,1.76,1.12,0.12,Other,7,7.5,10.0,0,0,0,0,3.0,4.5,0.5866666666666667,0.37333333333333335,0.04
19,Female,Port Nicholasberg,9,7.9,8.5,96,6,0.1,5,2,4,1,1.0,58,9,2.2,1.9,1.3,Education,5,3.5,10.0,0,0,0,0,5.3999999999999995,-4.4,0.27848101265822783,0.24050632911392403,0.16455696202531644
18,Male,South Thomas,12,5.4,5.9,69,4,1.3,2,7,8,0,0.6,83,19,1.6,1.0,0.4,Browsing,7,6.1,10.0,0,0,0,0,3.0,0.6999999999999993,0.2962962962962963,0.18518518518518517,0.07407407407407407
15,Female,Margaretmouth,12,3.0,5.1,83,4,1.1,1,9,4,1,1.5,58,6,0.94,0.94,1.11,Social Media,8,6.7,6.2,0,0,0,0,2.99,3.7,0.3133333333333333,0.3133333333333333,0.37000000000000005
16,Female,North Scott,12,2.7,6.3,92,3,1.4,2,9,3,1,1.7,112,17,1.01,1.25,0.43,Gaming,10,5.7,9.9,0,0,0,0,2.69,3.0,0.37407407407407406,0.4629629629629629,0.15925925925925924
14,Other,Port Angelabury,11,2.7,5.1,60,9,0.0,4,6,2,0,1.7,117,16,1.69,0.88,0.14,Education,5,4.8,9.5,0,0,0,0,2.71,2.0999999999999996,0.6259259259259259,0.3259259259259259,0.05185185185185185
19,Male,East Amanda,9,6.9,3.6,79,5,1.0,5,5,10,1,0.8,32,7,2.0,1.3,1.2,Education,7,6.6,10.0,1,0,0,0,4.5,-0.3000000000000007,0.2898550724637681,0.18840579710144928,0.17391304347826086
19,Other,Port Alan,12,4.6,7.2,85,7,1.3,7,6,4,0,1.1,71,5,1.8,0.8,1.1,Social Media,8,6.2,6.0,0,0,0,0,3.7,1.6000000000000005,0.391304347826087,0.1739130434782609,0.23913043478260873
16,Male,Port Bianca,11,5.5,5.9,78,5,1.2,1,7,3,0,0.7,44,14,0.9,1.3,1.3,Gaming,3,3.9,8.4,0,0,0,0,3.5,-1.6,0.16363636363636364,0.23636363636363636,0.23636363636363636
19,Male,West Kimberlyfurt,11,6.2,4.5,65,3,1.3,5,7,1,0,1.1,115,10,2.1,1.6,1.0,Social Media,7,6.6,10.0,0,0,0,0,4.7,0.39999999999999947,0.33870967741935487,0.25806451612903225,0.16129032258064516
19,Male,Shawburgh,8,4.9,9.3,50,4,0.0,7,4,1,0,0.3,117,5,2.04,2.33,0.53,Education,3,7.0,10.0,0,0,0,0,4.9,2.0999999999999996,0.4163265306122449,0.47551020408163264,0.10816326530612244
17,Female,West Cynthia,10,6.6,8.1,77,7,1.0,6,1,3,1,1.5,147,14,2.0,1.7,1.6,Education,8,9.2,10.0,0,0,0,0,5.300000000000001,2.5999999999999996,0.30303030303030304,0.25757575757575757,0.24242424242424246
19,Other,Jessicaberg,11,8.6,5.2,63,0,1.1,6,4,8,0,1.3,72,15,0.2,1.8,0.7,Browsing,9,6.6,10.0,0,0,0,0,2.7,-2.0,0.023255813953488375,0.20930232558139536,0.0813953488372093
15,Other,Lake Martha,12,4.1,4.5,59,8,0.8,10,1,8,0,0.6,32,10,2.2,1.0,0.5,Education,9,9.3,7.7,0,0,0,0,3.7,5.200000000000001,0.5365853658536587,0.24390243902439027,0.12195121951219513
19,Male,Vickifurt,10,4.2,6.9,86,8,1.7,5,1,9,1,1.0,100,15,1.92,1.62,0.66,Browsing,4,6.9,10.0,0,0,0,0,4.2,2.7,0.45714285714285713,0.38571428571428573,0.15714285714285714
19,Male,Port Ryan,10,8.0,5.5,87,7,2.2,1,8,5,0,1.0,26,16,3.3,1.3,2.6,Gaming,6,5.2,10.0,0,0,0,0,7.199999999999999,-2.8,0.4125,0.1625,0.325
16,Male,Lake Jamiebury,9,3.3,5.3,50,4,0.0,7,1,6,0,0.3,141,14,0.59,2.71,,Gaming,5,5.1,10.0,0,0,0,0,3.3,1.7999999999999998,0.1787878787878788,0.8212121212121213,
16,Male,South Williamfort,12,4.7,6.6,59,6,1.5,10,4,7,1,0.6,123,18,1.0,1.1,1.2,Social Media,2,0.3,9.6,0,0,0,1,3.3,-4.4,0.2127659574468085,0.23404255319148937,0.2553191489361702
15,Male,West Kristinaview,8,3.9,6.3,64,9,1.3,6,7,8,1,0.9,135,11,1.11,1.39,1.39,Social Media,7,2.2,8.4,0,0,0,0,3.8899999999999997,-1.6999999999999997,0.28461538461538466,0.3564102564102564,0.3564102564102564
13,Female,Burketown,8,4.4,6.8,62,8,1.4,2,1,10,0,1.7,66,7,0.9,,,Browsing,1,6.9,4.6,0,0,0,0,0.9,2.5,0.20454545454545453,,
13,Male,Christineton,9,8.3,6.2,65,9,1.3,5,6,8,1,1.3,144,5,2.3,,1.5,Other,1,2.9,10.0,0,0,0,0,3.8,-5.4,0.2771084337349397,,0.18072289156626503
16,Other,Schmitthaven,9,7.4,6.9,67,0,1.7,6,6,8,0,1.6,117,16,1.6,0.7,0.7,Social Media,8,4.6,10.0,0,0,0,0,3.0,-2.8000000000000007,0.21621621621621623,0.09459459459459459,0.09459459459459459
16,Female,North Christina,12,1.7,6.8,68,9,0.8,5,9,1,1,0.7,107,18,1.36,0.34,,Education,6,6.2,7.0,0,0,0,0,1.7000000000000002,4.5,0.8,0.2,
13,Other,Jasonmouth,8,6.2,8.3,77,1,0.4,7,2,4,0,1.1,141,5,3.8,1.4,0.9,Browsing,8,6.2,10.0,0,0,0,0,6.1,0.0,0.6129032258064515,0.2258064516129032,0.14516129032258066
19,Other,Roberttown,12,5.2,7.2,96,5,0.1,4,10,3,0,0.7,119,16,2.94,1.67,0.59,Gaming,3,6.1,10.0,0,0,0,0,5.199999999999999,0.8999999999999995,0.5653846153846154,0.3211538461538461,0.11346153846153845
15,Other,Andreville,11,3.3,5.3,89,7,0.0,9,6,9,0,0.3,77,18,1.1,1.0,,Gaming,9,10.4,7.9,0,0,0,0,2.1,7.1000000000000005,0.33333333333333337,0.30303030303030304,
13,Male,Nguyenfort,11,6.9,6.2,89,4,1.1,3,2,7,1,0.3,140,13,3.0,1.9,0.7,Gaming,9,4.1,10.0,0,0,0,0,5.6000000000000005,-2.8000000000000007,0.43478260869565216,0.27536231884057966,0.10144927536231883
13,Male,Millerton,9,6.6,5.0,88,8,2.1,10,7,10,0,2.0,56,20,2.1,1.4,0.4,Education,9,6.2,10.0,0,0,0,0,3.9,-0.39999999999999947,0.31818181818181823,0.21212121212121213,0.060606060606060615
18,Female,Evanschester,8,1.0,6.2,60,5,1.4,6,3,10,0,0.4,25,16,0.61,,0.39,Gaming,4,5.8,4.7,0,0,0,0,1.0,4.8,0.61,,0.39
17,Male,Castilloside,8,6.7,4.7,67,3,1.3,10,1,3,0,0.8,129,6,2.8,0.8,1.7,Gaming,7,9.9,10.0,0,0,0,0,5.3,3.2,0.417910447761194,0.11940298507462686,0.2537313432835821
19,Other,Adamsside,11,7.1,7.1,67,2,0.4,1,1,4,0,2.6,119,16,2.8,2.4,,Gaming,4,5.3,10.0,0,0,0,0,5.199999999999999,-1.7999999999999998,0.39436619718309857,0.3380281690140845,
18,Male,New Ericview,7,4.7,6.5,69,6,1.5,10,3,1,0,1.3,119,5,3.4,1.0,,Gaming,10,4.7,9.2,0,0,0,0,4.4,0.0,0.7234042553191489,0.2127659574468085,
14,Male,East Amber,11,8.1,7.2,91,6,1.4,8,7,8,1,0.3,120,13,1.4,2.2,1.9,Education,9,6.0,10.0,0,0,0,0,5.5,-2.0999999999999996,0.1728395061728395,0.271604938271605,0.2345679012345679
14,Male,Yuport,9,4.3,5.9,75,4,2.5,5,1,8,1,2.2,105,17,1.74,1.28,1.28,Other,1,3.1,10.0,0,0,0,0,4.3,-1.1999999999999997,0.4046511627906977,0.29767441860465116,0.29767441860465116
17,Male,Savagetown,11,3.9,8.4,97,3,0.5,1,7,8,0,1.2,66,13,2.43,0.9,0.57,Education,6,4.9,9.5,0,0,0,0,3.9,1.0000000000000004,0.6230769230769231,0.23076923076923078,0.14615384615384613
13,Other,Collinston,9,9.0,7.3,79,6,1.1,1,1,7,1,0.8,127,17,3.1,1.5,,Education,1,6.9,10.0,0,0,0,0,4.6,-2.0999999999999996,0.34444444444444444,0.16666666666666666,
15,Other,East Laurieview,8,4.5,7.8,93,5,1.0,7,7,2,1,1.3,83,17,1.89,0.87,1.74,Education,8,6.0,9.5,0,0,0,0,4.5,1.5,0.42,0.19333333333333333,0.38666666666666666
14,Other,Kimberlyburgh,11,4.4,4.1,56,9,1.7,7,7,1,1,0.8,129,16,3.12,0.89,0.38,Other,10,6.1,10.0,0,0,0,0,4.39,1.6999999999999993,0.7090909090909091,0.20227272727272727,0.08636363636363635
19,Other,South Thomas,12,5.9,8.5,87,2,0.0,4,10,9,0,1.5,48,6,3.0,1.5,0.7,Social Media,2,6.5,8.3,0,0,0,0,5.2,0.5999999999999996,0.5084745762711864,0.2542372881355932,0.11864406779661016
17,Other,Port Dustin,10,3.3,6.1,78,2,3.6,2,9,9,1,1.2,141,17,1.9,1.0,0.2,Education,8,5.1,9.4,0,0,0,0,3.1,1.7999999999999998,0.5757575757575758,0.30303030303030304,0.060606060606060615
15,Female,Davidberg,12,2.9,5.5,71,1,1.1,9,2,1,1,0.9,117,10,1.18,0.95,0.77,Gaming,7,4.6,8.1,0,0,0,0,2.9,1.6999999999999997,0.4068965517241379,0.3275862068965517,0.2655172413793104
17,Male,Walkerburgh,11,3.4,4.7,79,10,0.9,8,4,5,0,0.6,123,6,1.89,1.07,0.44,Other,5,7.6,9.4,0,0,0,0,3.4,4.199999999999999,0.5558823529411765,0.3147058823529412,0.12941176470588237
17,Female,West Tracey,7,6.3,7.4,77,8,1.6,4,4,10,0,1.4,110,8,3.28,1.33,1.69,Gaming,1,3.1,10.0,0,0,0,0,6.299999999999999,-3.1999999999999997,0.5206349206349207,0.21111111111111114,0.26825396825396824
19,Male,Shafferville,10,3.7,7.9,89,9,0.7,8,7,7,0,0.3,92,7,0.85,1.99,0.85,Education,7,2.0,6.0,0,0,0,0,3.69,-1.7000000000000002,0.22972972972972971,0.5378378378378378,0.22972972972972971
18,Male,Johnsonstad,7,4.7,6.9,77,7,0.9,6,10,1,0,1.0,105,12,0.7,1.3,,Education,8,8.3,7.8,0,0,0,0,2.0,3.6000000000000005,0.14893617021276595,0.2765957446808511,
17,Other,Traceymouth,8,6.7,7.9,54,8,1.3,7,10,7,0,0.2,84,9,2.2,1.3,1.4,Education,9,7.9,9.7,0,0,0,0,4.9,1.2000000000000002,0.3283582089552239,0.19402985074626866,0.208955223880597
18,Female,Lake Samanthabury,12,5.3,7.7,63,1,2.2,10,6,4,1,0.7,135,6,1.58,2.23,1.49,Other,9,5.7,9.4,0,0,0,0,5.3,0.40000000000000036,0.29811320754716986,0.4207547169811321,0.2811320754716981
17,Male,Alejandraburgh,12,8.7,5.2,87,5,0.0,4,8,2,1,1.2,146,10,4.0,0.6,0.4,Gaming,6,5.9,10.0,0,0,0,0,5.0,-2.799999999999999,0.4597701149425288,0.06896551724137931,0.04597701149425288
17,Other,Port Jonathanside,9,3.9,8.0,80,3,1.5,4,5,10,0,0.3,41,11,2.6,,1.1,Social Media,2,5.7,5.5,0,0,0,0,3.7,1.8000000000000003,0.6666666666666667,,0.2820512820512821
16,Female,Bradyton,10,7.4,6.6,100,3,1.1,2,3,5,1,1.3,90,19,2.1,0.8,0.6,Other,9,9.3,10.0,0,0,0,0,3.5000000000000004,1.9000000000000004,0.28378378378378377,0.10810810810810811,0.08108108108108107
18,Female,Franciston,11,6.8,10.0,98,7,1.7,7,8,3,1,1.7,72,16,2.4,1.0,2.0,Social Media,10,7.6,9.8,0,0,0,0,5.4,0.7999999999999998,0.35294117647058826,0.14705882352941177,0.29411764705882354
18,Female,Candacemouth,8,7.0,8.0,70,5,1.9,8,5,7,1,0.7,133,9,1.6,0.6,0.4,Gaming,5,1.8,9.7,0,0,0,0,2.6,-5.2,0.2285714285714286,0.08571428571428572,0.05714285714285715
16,Male,West Lisaview,8,5.8,7.2,88,5,1.0,9,9,2,0,0.7,30,15,2.6,0.7,0.5,Browsing,10,9.7,9.1,0,0,0,0,3.8,3.8999999999999995,0.4482758620689655,0.12068965517241378,0.08620689655172414
17,Other,Jamesbury,12,4.1,5.5,67,2,0.2,1,7,4,1,0.5,120,16,2.1,1.02,0.98,Browsing,8,11.0,10.0,0,0,0,0,4.1,6.9,0.5121951219512195,0.24878048780487808,0.23902439024390246
19,Other,Hickschester,12,4.9,4.4,86,5,1.8,7,6,7,1,0.9,90,15,2.5,1.2,0.5,Other,2,4.2,10.0,0,0,0,0,4.2,-0.7000000000000002,0.5102040816326531,0.24489795918367344,0.1020408163265306
18,Male,West Erikashire,12,4.4,6.6,95,3,1.1,8,1,3,1,0.6,91,15,2.1,1.53,0.77,Education,1,3.9,9.7,0,0,0,0,4.4,-0.5000000000000004,0.47727272727272724,0.3477272727272727,0.175
19,Male,South Taylortown,8,6.3,3.0,58,8,1.1,5,2,8,0,0.6,48,6,3.9,1.1,0.1,Other,6,8.5,10.0,1,0,0,0,5.1,2.2,0.6190476190476191,0.17460317460317462,0.015873015873015876
15,Male,New Gregstad,9,5.8,6.9,84,8,2.3,3,9,3,1,0.5,106,7,3.1,1.2,1.5,Social Media,6,5.5,10.0,0,0,0,0,5.8,-0.2999999999999998,0.5344827586206897,0.20689655172413793,0.25862068965517243
13,Female,Morganshire,8,6.5,7.2,58,10,0.3,9,6,5,0,1.1,74,6,2.6,2.0,1.1,Gaming,9,8.7,10.0,0,0,0,0,5.699999999999999,2.1999999999999993,0.4,0.3076923076923077,0.16923076923076924
17,Female,West Michael,9,5.8,7.0,76,8,1.7,5,5,5,1,1.7,116,19,2.35,1.72,1.72,Education,9,3.3,10.0,0,0,0,0,5.79,-2.5,0.4051724137931035,0.296551724137931,0.296551724137931
19,Other,Gonzalezland,7,5.1,7.0,64,4,1.5,10,6,7,0,1.7,140,5,0.5,1.7,0.9,Gaming,2,7.7,7.6,0,0,0,0,3.1,2.6000000000000005,0.09803921568627452,0.33333333333333337,0.17647058823529413
13,Other,East Thomas,8,5.2,6.0,87,0,0.8,1,5,8,1,1.6,79,11,4.04,,1.16,Gaming,6,3.7,10.0,0,0,0,0,5.2,-1.5,0.7769230769230769,,0.22307692307692306
13,Male,Antoniohaven,11,4.8,8.6,78,8,0.0,3,3,10,1,1.0,51,9,2.06,1.65,1.1,Social Media,7,7.1,8.7,0,0,0,0,4.8100000000000005,2.3,0.4291666666666667,0.34375,0.22916666666666669
19,Male,Lake Susanport,11,4.3,4.3,91,6,0.0,9,8,5,0,0.9,98,7,2.2,0.6,0.3,Social Media,8,5.2,8.3,0,0,0,0,3.1,0.9000000000000004,0.5116279069767442,0.13953488372093023,0.06976744186046512
19,Female,North Cristina,7,7.6,6.4,88,4,0.0,6,4,8,0,1.8,77,15,4.6,,,Gaming,7,7.1,10.0,0,0,0,0,4.6,-0.5,0.6052631578947368,,
17,Female,Lake Adrianberg,7,5.5,6.9,65,3,0.4,6,9,9,1,0.4,82,6,1.6,1.1,0.2,Browsing,4,6.2,7.6,0,0,0,0,2.9000000000000004,0.7000000000000002,0.29090909090909095,0.2,0.03636363636363637
15,Other,Sarahfurt,10,4.8,6.3,76,8,1.6,2,6,7,1,1.1,136,11,3.16,0.85,0.79,Social Media,8,5.3,10.0,0,0,0,0,4.8,0.5,0.6583333333333334,0.17708333333333334,0.16458333333333336
19,Other,Marktown,9,7.4,6.3,75,6,1.5,9,7,2,1,0.3,85,9,2.9,2.9,,Social Media,1,7.6,10.0,0,0,0,0,5.8,0.1999999999999993,0.3918918918918919,0.3918918918918919,
16,Male,South Tonyton,12,3.8,5.1,85,1,0.0,8,7,8,0,0.6,104,10,1.8,0.5,1.3,Social Media,9,9.3,7.6,0,0,0,0,3.5999999999999996,5.500000000000001,0.4736842105263158,0.13157894736842105,0.34210526315789475
13,Other,Lake Nancy,10,7.3,5.6,84,1,0.2,4,1,8,0,1.2,22,11,2.2,2.0,0.9,Other,1,4.1,10.0,0,0,0,0,5.1000000000000005,-3.2,0.30136986301369867,0.273972602739726,0.12328767123287672
19,Female,Kevinport,8,0.7,4.6,64,6,1.3,10,1,9,0,0.4,146,10,0.42,0.04,0.25,Other,3,5.3,5.7,0,0,0,0,0.71,4.6,0.6,0.05714285714285715,0.35714285714285715
14,Male,South Adamside,11,3.0,6.6,82,0,0.8,1,3,3,0,0.6,84,6,1.59,0.99,0.43,Other,9,6.7,8.6,0,0,0,0,3.0100000000000002,3.7,0.53,0.33,0.14333333333333334
19,Other,East Andrewport,12,4.0,7.4,83,3,0.3,10,4,4,0,0.6,55,18,3.35,0.65,,Gaming,3,7.4,9.9,0,0,0,0,4.0,3.4000000000000004,0.8375,0.1625,
16,Other,Craigstad,12,8.1,6.8,59,1,0.0,7,3,1,0,0.6,129,7,0.7,2.5,1.5,Other,1,5.1,10.0,0,0,0,0,4.7,-3.0,0.08641975308641975,0.308641975308642,0.1851851851851852
17,Male,Guerrafort,12,5.2,6.6,56,10,0.9,6,8,4,0,0.5,98,16,2.4,1.4,1.0,Other,5,8.1,10.0,0,0,0,0,4.8,2.8999999999999995,0.4615384615384615,0.2692307692307692,0.1923076923076923
18,Other,Parsonsfurt,7,1.7,6.2,52,8,1.3,2,2,7,0,1.3,76,17,0.51,0.87,0.32,Social Media,7,6.5,6.5,0,0,0,0,1.7,4.8,0.3,0.5117647058823529,0.18823529411764706
15,Male,Port Maryborough,8,6.8,7.4,100,9,1.1,6,7,7,0,1.9,123,11,4.2,1.6,0.7,Social Media,5,6.8,10.0,0,0,0,0,6.500000000000001,0.0,0.6176470588235294,0.23529411764705885,0.10294117647058823
18,Female,Sherryton,9,6.4,10.0,89,0,1.2,9,9,8,0,0.5,128,9,3.02,2.35,1.03,Education,2,4.6,10.0,0,0,0,0,6.4,-1.8000000000000007,0.471875,0.3671875,0.16093749999999998
17,Male,Wilsonton,9,7.2,7.4,63,7,0.1,2,3,8,0,0.7,112,11,3.8,0.5,0.5,Social Media,4,2.3,10.0,0,0,0,0,4.8,-4.9,0.5277777777777778,0.06944444444444445,0.06944444444444445
18,Female,Lake Adamfort,10,3.3,5.7,93,5,1.7,9,6,7,1,0.1,72,17,2.33,0.78,0.19,Other,10,6.6,10.0,0,0,0,0,3.3000000000000003,3.3,0.7060606060606062,0.2363636363636364,0.05757575757575758
16,Male,East Patrickburgh,8,4.7,8.5,98,3,0.2,4,5,8,0,0.1,20,16,2.8,1.3,0.3,Social Media,8,6.2,8.2,0,0,0,0,4.3999999999999995,1.5,0.5957446808510638,0.2765957446808511,0.06382978723404255
18,Female,East Lynn,9,2.8,7.0,93,5,0.8,4,5,2,0,1.5,42,6,1.78,0.64,0.38,Social Media,10,8.2,5.1,0,0,0,0,2.8,5.3999999999999995,0.6357142857142858,0.2285714285714286,0.13571428571428573
16,Female,East Derrick,8,6.2,8.7,53,1,0.1,7,6,10,1,0.5,24,12,1.6,2.5,1.0,Other,7,6.7,8.8,0,0,0,0,5.1,0.5,0.25806451612903225,0.4032258064516129,0.16129032258064516
17,Male,East Wendymouth,9,6.7,8.5,91,4,1.4,8,7,2,0,0.2,49,9,1.98,3.3,1.42,Browsing,8,5.7,10.0,0,0,0,0,6.699999999999999,-1.0,0.2955223880597015,0.4925373134328358,0.21194029850746268
14,Other,Port Pamelatown,8,2.2,5.1,69,7,1.0,6,3,8,1,1.3,24,16,0.97,0.82,0.41,Other,9,7.6,8.1,0,0,0,0,2.2,5.3999999999999995,0.44090909090909086,0.3727272727272727,0.18636363636363634
13,Female,Harrisbury,11,4.1,6.3,57,3,2.0,5,3,7,0,0.4,78,13,1.66,2.15,0.29,Gaming,3,5.8,9.0,0,0,0,0,4.1,1.7000000000000002,0.40487804878048783,0.524390243902439,0.07073170731707318
13,Male,Taraland,11,5.3,5.9,85,9,0.6,6,1,2,1,0.9,98,14,2.1,2.38,0.82,Education,8,8.9,10.0,0,0,0,0,5.300000000000001,3.6000000000000005,0.39622641509433965,0.4490566037735849,0.15471698113207547
18,Female,South Shelleyfort,8,4.7,3.4,71,1,1.8,7,4,7,1,1.5,87,9,0.1,,,Education,7,6.7,6.6,1,0,0,0,0.1,2.0,0.02127659574468085,,
19,Other,East Angelaland,10,4.5,7.4,67,9,1.1,10,1,2,1,0.8,68,11,2.6,1.0,0.9,Gaming,4,7.4,8.0,0,0,0,0,4.5,2.9000000000000004,0.5777777777777778,0.2222222222222222,0.2
13,Male,South Josephstad,7,5.6,5.8,85,4,0.6,1,2,8,1,1.4,44,7,2.1,,1.5,Gaming,7,6.6,7.1,0,0,0,0,3.6,1.0,0.37500000000000006,,0.26785714285714285
15,Other,Rhondafurt,7,7.3,5.0,67,2,0.5,8,5,5,0,1.4,77,18,1.2,1.1,0.8,Gaming,4,8.0,10.0,0,0,0,0,3.0999999999999996,0.7000000000000002,0.1643835616438356,0.15068493150684933,0.10958904109589042
18,Female,Jaredmouth,11,4.6,9.4,55,2,0.8,2,4,5,1,1.1,113,7,1.5,1.6,1.5,Education,4,8.6,6.9,0,0,0,0,4.6,4.0,0.32608695652173914,0.3478260869565218,0.32608695652173914
15,Other,North Cherylburgh,9,2.0,5.9,74,5,0.9,2,9,6,0,1.1,47,12,0.85,0.55,0.6,Other,1,4.4,5.7,0,0,0,0,2.0,2.4000000000000004,0.425,0.275,0.3
14,Male,Bentleytown,9,1.6,6.1,70,7,0.0,9,5,1,0,1.6,42,5,1.08,0.18,0.34,Social Media,3,1.8,6.0,0,0,0,0,1.6,0.19999999999999996,0.675,0.11249999999999999,0.2125
18,Other,East Pamelaside,9,2.0,7.5,76,0,1.1,1,7,2,1,0.9,115,7,0.61,0.83,0.57,Gaming,10,5.6,5.2,0,0,0,0,2.01,3.5999999999999996,0.305,0.415,0.285
16,Male,Loveberg,10,3.0,4.7,51,10,3.0,1,8,1,1,0.3,42,18,1.02,1.98,,Education,3,6.7,10.0,0,0,0,0,3.0,3.7,0.34,0.66,
15,Female,Port Veronicamouth,9,6.9,3.9,73,9,2.2,1,6,4,0,0.8,58,16,2.88,2.45,1.57,Education,3,4.9,10.0,1,0,0,0,6.9,-2.0,0.41739130434782606,0.35507246376811596,0.22753623188405797
16,Other,Port Samanthaberg,8,5.5,5.4,63,8,0.0,5,10,3,1,2.0,72,14,1.4,,0.8,Other,1,8.3,8.4,0,0,0,0,2.2,2.8000000000000007,0.2545454545454545,,0.14545454545454548
